textID,selected_text,sentiment,positive,negative,neutral
cb774db0d1,id responded going,neutral,0,0,1
549e992a42,sooo sad,negative,0,1,0
088c60f138,bullying,negative,0,1,0
9642c003ef,leave alone,negative,0,1,0
358bd9e861,sons,negative,0,1,0
28b57f3990,shameless plugging best rangers forum earth,neutral,0,0,1
6e0c6d75b1,fun,positive,1,0,0
50e14c0bb8,soooo high,neutral,0,0,1
fc2cbefa9d,wow u became cooler,positive,1,0,0
2339a9b08b,much love hopeful reckon chances minimal p im never gonna get cake stuff,neutral,0,0,1
16fab9f95b,like,positive,1,0,0
74a76f6e0a,dangerously,negative,0,1,0
04dd1d2e34,lost,negative,0,1,0
bbe3cbf620,test test lg env2,neutral,0,0,1
8a939bfb59,uh oh sunburned,negative,0,1,0
3440297f8b,sigh,negative,0,1,0
919fa93391,sick,negative,0,1,0
af3fed7fc3,onna,negative,0,1,0
40e7becabf,hes,neutral,0,0,1
04d17ef61e,oh marly im sorry hope find soon 3 3,neutral,0,0,1
e48b0b8a23,interesting,positive,1,0,0
7de057cf40,cleaning house family comming later today,neutral,0,0,1
9ce5570064,gotta restart computer thought win7 supposed put end constant rebootiness,neutral,0,0,1
0c8cc71c46,see wat mean bout foll0w friidays called lose f0llowers friday smh,neutral,0,0,1
e00c6ef376,free fillin app ipod fun im addicted,positive,1,0,0
852edc3769,im sorry,negative,0,1,0
bdc32ea43c,internet,negative,0,1,0
6ce4a4954b,fun,positive,1,0,0
d22e6d40a7,power back working,negative,0,1,0
d33f811375,quiteheavenly,positive,1,0,0
7d8c4c11e4,hope,positive,1,0,0
1c31703aef,well much unhappy 10 minute,negative,0,1,0
2dc51711bc,funny,positive,1,0,0
d21ab5855b,ahhh slept game im gonna try best watch tomorrow though hope play army,neutral,0,0,1
4f5267ad70,thats end tears fears,neutral,0,0,1
2724775d6b,miss,negative,0,1,0
1cbc812ece,case wonder really busy today coming adding tons new blogs updates stay tuned,neutral,0,0,1
4b61dffbeb,soooooo sleeeeepy,negative,0,1,0
2863f435bd,little happy fo,positive,1,0,0
d93afa85cf,car happy big big dent boot hoping theyre going write crossing fingers waiting,neutral,0,0,1
fab6b7d16c,avid fan,positive,1,0,0
2e7082d1c8,mayday,neutral,0,0,1
684081e4e7,ratt rocked nashville toniteone thing sucked encore like 80s still fun show pearcy hott bad boy look,neutral,0,0,1
c77717b103,love,positive,1,0,0
a9d499e123,girl hair salon asked shall trim eyebrows old feel,neutral,0,0,1
ddf296dffa,suckkkkkk,negative,0,1,0
c3924dc9e4,visiting friendster facebook,neutral,0,0,1
3d9d4b0b55,dont like go,negative,0,1,0
3fcea4debc,im thrilled mine,negative,0,1,0
a3ae670885,check connect tweeple hate twitter,neutral,0,0,1
15d5f3a41b,also bored school third freelesson freistunde,neutral,0,0,1
3c4a21b2cb,hm us guess,neutral,0,0,1
11084dac09,u dissappointed past days,negative,0,1,0
d8ba2a99a9,romance zero funny,positive,1,0,0
e77fd45003,id rather early runbut morning runner,neutral,0,0,1
b159318d76,hurts,negative,0,1,0
6086b1f016,back later,neutral,0,0,1
703afdc44b,torn ace hearts,negative,0,1,0
90f3d2b572,fun speaking,neutral,0,0,1
52483f7da8,lost friends im alone sleepy,negative,0,1,0
a4b0888da6,haha yes,neutral,0,0,1
2a9765b7f9,give easily,negative,0,1,0
90a2cdb657,favorite,positive,1,0,0
98f25bc596,jealous,negative,0,1,0
23e1f7dca4,photoshoot,neutral,0,0,1
95e12b1cb1,awesome,positive,1,0,0
c34feef039,yay playing show tonight boo gonna soggy im work right playing,neutral,0,0,1
fa2654e730,chilliin,positive,1,0,0
187494c25b,know agent let know,neutral,0,0,1
4213627c3c,still smell smoke kitchenfire,neutral,0,0,1
a4e00d4d26,better,positive,1,0,0
04e2e334de,anyone extra keane ticket promise buy drink take rad pics fb blog flickr etc,neutral,0,0,1
0c4aa867d0,ride one catch one summer til pop open one,neutral,0,0,1
a6c61eac26,good gorjuz yea kno asked yesterday tha hospital talked u said,neutral,0,0,1
94bd67443c,ok im popped say hi check things ill probably head guttah later tonight,neutral,0,0,1
35f393a245,baddd,negative,0,1,0
b2c9f115b1,sources say,neutral,0,0,1
0a61cbf4b5,sooo tired,negative,0,1,0
ee9ec7a5a4,hey change twitter account didnt even tell,neutral,0,0,1
bbbc46889b,thank yyyyyyyyyoooooooooouuuuu,positive,1,0,0
58d382e07a,lucky,positive,1,0,0
cb4d439ebc,fell asleep waiting ride,neutral,0,0,1
64ed512788,sick,negative,0,1,0
4cd390c007,sorry guys,negative,0,1,0
3d2fcd78c8,happy star wars day everyone enjoy holiday uk,positive,1,0,0
0c0563423e,miles im essex give plenty warning arrive time get least one free beers,neutral,0,0,1
cd0d522bb1,snoring annoying n keeps sleeping like right lol honestly wud miss eva left love,neutral,0,0,1
bffa3ddd61,miss bby,negative,0,1,0
9339ee8e0b,cool,positive,1,0,0
a76f9cf8ce,love,positive,1,0,0
4ce121e2ad,mounce yes lasts way past bedtime,neutral,0,0,1
a3de81e1ba,hi joined twitter,neutral,0,0,1
55bacda5eb,tired,negative,0,1,0
b63ed6da62,eating ice cream getting ready graduation,neutral,0,0,1
